"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"110","73656","Ms4a6c","membrane-spanning 4-domains, subfamily A, member 6C","19","19 8.44 cM","Mus musculus","house mouse","Predicted to be located in trans-Golgi network. Orthologous to several human genes including MS4A6A (membrane spanning 4-domains A6A). [provided by Alliance of Genome Resources, Apr 2022]"
"111","21810","Tgfbi","transforming growth factor, beta induced","13","13 30.09 cM","Mus musculus","house mouse","Enables extracellular matrix binding activity. Acts upstream of or within cell adhesion and extracellular matrix organization. Located in extracellular matrix and extracellular space. Is expressed in several structures, including central nervous system; genitourinary system; heart and pericardium; sensory organ; and skeleton. Used to study corneal dystrophy. Human ortholog(s) of this gene implicated in corneal dystrophy (multiple). Orthologous to human TGFBI (transforming growth factor beta induced). [provided by Alliance of Genome Resources, Apr 2022]"
"112","67776","Vwa5a","von Willebrand factor A domain containing 5A","9","9 20.89 cM","Mus musculus","house mouse","Predicted to be an extracellular matrix structural constituent. Located in collagen-containing extracellular matrix. Orthologous to human VWA5A (von Willebrand factor A domain containing 5A). [provided by Alliance of Genome Resources, Apr 2022]"
"113","12362","Casp1","caspase 1","9","9 2.46 cM","Mus musculus","house mouse","Enables cysteine-type endopeptidase activity. Involved in several processes, including positive regulation of I-kappaB kinase/NF-kappaB signaling; positive regulation of interleukin-1 beta production; and protein autoprocessing. Acts upstream of or within several processes, including membrane hyperpolarization; mitochondrial depolarization; and positive regulation of interleukin-1 alpha production. Located in extracellular region. Part of IPAF inflammasome complex. Is expressed in knee joint and metanephros. Orthologous to human CASP1 (caspase 1). [provided by Alliance of Genome Resources, Apr 2022]"
"114","20306","Ccl7","C-C motif chemokine ligand 7","11","11 49.83 cM","Mus musculus","house mouse","Enables CCR2 chemokine receptor binding activity. Predicted to be involved in several processes, including cellular response to cytokine stimulus; leukocyte chemotaxis; and positive regulation of natural killer cell chemotaxis. Predicted to act upstream of or within chemotaxis. Located in extracellular space. Is expressed in several structures, including central nervous system; leg; lung; retina; and vertebral axis musculature. Human ortholog(s) of this gene implicated in multiple sclerosis. Orthologous to human CCL7 (C-C motif chemokine ligand 7). [provided by Alliance of Genome Resources, Apr 2022]"
"115","80837","Rhoj","ras homolog family member J","12","12 32.63 cM","Mus musculus","house mouse","Predicted to enable GTP binding activity and GTPase activity. Acts upstream of or within several processes, including Rho protein signal transduction; regulation of cell shape; and retina vasculature morphogenesis in camera-type eye. Predicted to be located in plasma membrane. Is expressed in several structures, including central nervous system; genitourinary system; retina; vascular system; and vertebral axis musculature. Orthologous to human RHOJ (ras homolog family member J). [provided by Alliance of Genome Resources, Apr 2022]"
"116","12505","Cd44","CD44 antigen","2","2 54.13 cM","Mus musculus","house mouse","Enables hyaluronic acid binding activity and type II transforming growth factor beta receptor binding activity. Contributes to cytokine binding activity and cytokine receptor activity. Involved in several processes, including negative regulation of T cell activation; positive regulation of protein phosphorylation; and regulation of intracellular signal transduction. Acts upstream of or within several processes, including Wnt signaling pathway; morphogenesis of a branching epithelium; and wound healing involved in inflammatory response. Located in basolateral plasma membrane; external side of plasma membrane; and microvillus. Part of macrophage migration inhibitory factor receptor complex. Is expressed in several structures, including alimentary system; branchial arch; central nervous system; genitourinary system; and limb. Human ortholog(s) of this gene implicated in breast carcinoma (multiple); carcinoma (multiple); and prostate cancer. Orthologous to human CD44 (CD44 molecule (Indian blood group)). [provided by Alliance of Genome Resources, Apr 2022]"
"117","12363","Casp4","caspase 4, apoptosis-related cysteine peptidase","9","9 2.46 cM","Mus musculus","house mouse","This gene encodes a member of the cysteine proteases that plays important roles in apoptosis, cell migration and the inflammatory response. The encoded protein mediates production of pro-inflammatory cytokines by macrophages upon bacterial infection. Mice lacking the encoded protein are resistant to endotoxic shock induced by lipopolysaccharide. A 5-bp deletion encompassing a splice acceptor junction resulting in alternate splicing and a shorter non-functional isoform in certain mouse strains has been described. Although its official nomenclature is ""caspase 4, apoptosis-related cysteine peptidase"", this gene and its encoded protein have historically been called caspase 11. This gene is present in a cluster of three caspase genes on chromosome 9. [provided by RefSeq, Apr 2015]"
"118","68487","Tmem140","transmembrane protein 140","6","6 15.18 cM","Mus musculus","house mouse","Predicted to be located in membrane. Predicted to be integral component of membrane. Orthologous to human TMEM140 (transmembrane protein 140). [provided by Alliance of Genome Resources, Apr 2022]"
"119","21857","Timp1","tissue inhibitor of metalloproteinase 1","X","X 16.38 cM","Mus musculus","house mouse","Predicted to enable several functions, including cytokine activity; metalloendopeptidase inhibitor activity; and zinc ion binding activity. Acts upstream of or within connective tissue replacement involved in inflammatory response wound healing. Located in basement membrane. Is expressed in several structures, including early conceptus; hindlimb cartilage condensation; jaw; reproductive system; and skeletal system. Orthologous to human TIMP1 (TIMP metallopeptidase inhibitor 1). [provided by Alliance of Genome Resources, Apr 2022]"
"120","12655","Chil3","chitinase-like 3","3","3 46.49 cM","Mus musculus","house mouse","The protein encoded by this gene is similar to bacterial chitinases but lacks chitinase activity. The encoded protein is thought to function as a lectin and may be involved in inflammation and allergy. [provided by RefSeq, Sep 2015]"
"121","20296","Ccl2","C-C motif chemokine ligand 2","11","11 49.82 cM","Mus musculus","house mouse","This gene is one of several cytokine genes clustered on chromosome 11. Chemokines are a superfamily of secreted proteins involved in immunoregulatory and inflammatory processes. The superfamily is divided into four subfamilies based on the arrangement of N-terminal cysteine residues of the mature peptide. This chemokine is a member of the CC subfamily which is characterized by two adjacent cysteine residues. This cytokine displays chemotactic activity for monocytes and memory T cells but not for neutrophils. The human ortholog has been implicated in the pathogenesis of diseases characterized by monocytic infiltrates, such as psoriasis, rheumatoid arthritis, and atherosclerosis. [provided by RefSeq, Sep 2015]"
"122","16365","Acod1","aconitate decarboxylase 1","14","14 51.67 cM","Mus musculus","house mouse","Enables aconitate decarboxylase activity. Involved in several processes, including cellular response to cytokine stimulus; negative regulation of defense response; and negative regulation of signal transduction. Acts upstream of or within response to lipopolysaccharide. Located in mitochondrion. Orthologous to human ACOD1 (aconitate decarboxylase 1). [provided by Alliance of Genome Resources, Apr 2022]"
"123","20302","Ccl3","C-C motif chemokine ligand 3","11","11 51.04 cM","Mus musculus","house mouse","Enables chemokine activity. Involved in several processes, including astrocyte cell migration; macrophage chemotaxis; and positive regulation of macromolecule metabolic process. Located in extracellular space. Is expressed in articular cartilage; cartilage; knee joint; lung; and radius. Human ortholog(s) of this gene implicated in human immunodeficiency virus infectious disease. Orthologous to several human genes including CCL3 (C-C motif chemokine ligand 3). [provided by Alliance of Genome Resources, Apr 2022]"
